county,el,sp
East San Juans,1791.3333333333333,Nemex
East San Juans,1793.3333333333333,Nemex
East San Juans,1793.3333333333333,Nemex
East San Juans,1793.3333333333333,Nemex
East San Juans,1793.3333333333333,Nemex
East San Juans,1795.3333333333333,Nemex
East San Juans,1795.3333333333333,Nemex
East San Juans,1795.3333333333333,Nemex
East San Juans,1795.3333333333333,Nemex
East San Juans,1795.3333333333333,Nemex
East San Juans,1799,Nemex
East San Juans,1958,Nemex
East San Juans,1960,Nemex
East San Juans,1960,Nemex
East San Juans,1962,Nemex
East San Juans,1962,Nemex
East San Juans,1962,Nemex
East San Juans,1970.6666666666667,Nemex
Montezuma,1980,Nemex
Montezuma,1980,Nemex
East San Juans,1983,Nemex
East San Juans,1983,Nemex
East San Juans,1984.3333333333333,Nemex
East San Juans,1987.6666666666667,Nemex
East San Juans,1990,Nemex
East San Juans,1990,Nemex
East San Juans,1990,Nemex
East San Juans,1990,Nemex
East San Juans,1990,Nemex
Montezuma,1993,Nemex
East San Juans,2020,Nemex
Montezuma,2160,Nemex
West San Juans,2234,Nemex
West San Juans,2234,Nemex
Montezuma,2241,Nemex
Montezuma,2244,Nemex
Dolores,2483,Nemex
Dolores,2485,Nemex
Mesa,1442,Nemex
Las Animas,1483.4616,Nemex
Las Animas,1508.1504,Nemex
Jefferson,1706,Nemex
Jefferson,1735,Nemex
Jefferson,1738,Nemex
Douglas,1938,Nemex
Douglas,1942,Nemex
Montrose,2205,Nemex
Montrose,2205,Nemex
Montrose,2205,Nemex
Montrose,2205,Nemex
Archuleta,2373,Nemex
Jefferson,2477,Nemex
Conejos,2484,Nemex
Conejos,2484,Nemex
Conejos,2484,Nemex
Conejos,2484,Nemex
Conejos,2484,Nemex
La Plata,2570,Nemex
La Plata,2570,Nemex
Pueblo,2654,Nemex
Pueblo,2654,Nemex
Larimer,1717,Peboy
Larimer,1717,Peboy
Larimer,1717,Peboy
Larimer,1717,Peboy
Larimer,1717,Peboy
West San Juans,1487,Peboy
West San Juans,1488,Peboy
West San Juans,1491,Peboy
West San Juans,1491,Peboy
West San Juans,1491,Peboy
